repo_name,number_of_stars,programming_language
FlaxEngine,297,C++
ghidra,368,Java
bitcoin,170,C++
edex-ui,118,JavaScript
modern-cpp-tutorial,116,C++
ArtLine,321,Jupyter Notebook
playwright,384,TypeScript
imgui,144,C++
Cognitive-Samples-IntelligentKiosk,55,C#
wave,649,Python
clean-code-dotnet,70,C#
bevy,81,Rust
applied-ml,NA,NA
open-project-1,45,C#
E-commerce-Complete-Flutter-UI,41,Dart
piping-server,289,TypeScript
Fully-Undetectable-Techniques,115,C
compose-jb,285,Kotlin
v,62,V
chakra-ui,243,TypeScript
jd-base,71,Shell
OpenWrt-Rpi,31,Shell
supertokens-core,484,Java
flutter,389,Dart
SpaceX-API,35,JavaScript
